Código Disciplina,Turma,Professor,Link
ELTD06,T01,MAURILIO PEREIRA COUTINHO,https://chat.whatsapp.com/INCWW1yr3P2LubQowmSAi5
EME002,02,Marilia Sonego,https://chat.whatsapp.com/IsGmjItux6OJVmxHHgmfCR
EME004P,"T1,2,3,4",Barca e João Roberto,https://chat.whatsapp.com/LWpWniyZr8P5mq1RPV3Jw3
EME034,T02,JOSE HAMILTON CHAVES GORGULHO JUNIOR,https://chat.whatsapp.com/Eq0eHrz4jaS4rrKQrO59Vc
EME205,T01,,https://chat.whatsapp.com/L5qQdlkvtNl4ci7AY3RyD9
EME205,T03,Genesio,https://chat.whatsapp.com/LjDwJmg0CyY9H6nkeRMwv7
EME404,01,Jesus,https://chat.whatsapp.com/IErGNsmpL5mE6N9JroYiuX
EME404,T04,Bruno Sousa,https://chat.whatsapp.com/DPhSIeBA3e92rnbEzylDTh
EME405P,T02,Felipe Eloy,https://chat.whatsapp.com/IrLqqRcWpS44XYxSr9i6Cm
EME405T,04,Patrícia,https://chat.whatsapp.com/KgYtloALeYWGamZrC26O5U
EME405T,T02,Mirian Melo,https://chat.whatsapp.com/Bn0q9jQsuZLH3dY5uAc8SD
EME405T,T03,Sebastião,https://chat.whatsapp.com/L3zwEmIEbhmAkKa3XyRhIb
EME412P,T13,ANGIE LIZETH ESPINOSA SARMIENTO,https://chat.whatsapp.com/GwnVFcZ8ltuGkCKMsF5ZSX
EME438P,T07, MIRIAN DE LOURDES NORONHA MOTTA MELO,https://chat.whatsapp.com/Drn7cHsbvCCBc0Fy7bV6vB
EME438T,T01,PATRICIA DA SILVA LOPES ALEXANDRINO,https://chat.whatsapp.com/Ct2EiWVHYqiBJbjHufjTd0
EME503P,04,Lourival,https://chat.whatsapp.com/Dxhb9ZbaeCm9S1vNTN1bcD
EME503T,02,Fagner,https://chat.whatsapp.com/IL3Cs8Ljwe26QEYEGWftIc
EME503T,T01,LUCILENE,https://chat.whatsapp.com/KD3shiOgqex4AeRwDyk6y8
EME603P,"T4,5,6,7,8,9,10",Luiz Antônio,https://chat.whatsapp.com/BPKZiWSFNEwBExyZP2vDpz
EME606T,T02,Genésio Jose Menon,https://chat.whatsapp.com/Hj2i1hnaueA4HnROMkGBTg
EME611,01,Janaina cunha Vaz Albuquerque ,https://chat.whatsapp.com/JRt82r7y3O9DE0ka4doKzk
EME611,T01,Janaina,https://chat.whatsapp.com/G8QklKnc8KOBy6HGKCqaTh
EME905,T01,Juliano,https://chat.whatsapp.com/EnOvHjhNVShAtLrOrkihSY
EMT037P,T03,Geovani Rodrigues,https://chat.whatsapp.com/DXv6rvBTtlNBsR3YZWDt8V
EMT037T,T01,Geovani Rodrigues,https://chat.whatsapp.com/LC2ldrQAtmv223askooB71
